order_id,customer_id,product_id,quantity,price,order_date
2334,5,40,3,35.6,2022-06-21
6228,8,13,7,36.52,2023-03-08
7784,9,44,4,46.56,2023-04-22
6588,5,26,1,15.87,2022-10-23
5910,8,32,10,77.0,2022-10-05
3983,3,11,4,85.04,2022-11-25
9464,10,15,6,45.41,2023-03-25
8272,9,11,1,71.7,2022-09-10
3569,5,47,9,19.35,2023-05-25
2997,7,49,1,39.54,2022-08-09
4237,8,10,5,47.66,2022-10-19
4010,7,40,1,30.73,2023-04-22
3760,4,30,4,84.08,2023-03-09
1098,9,46,2,26.31,2022-07-11
4018,1,20,4,36.85,2022-06-18
5427,7,17,10,23.25,2022-11-05
4837,10,11,9,74.71,2023-01-14
5200,5,50,6,82.12,2023-02-28
4388,10,32,6,76.36,2022-07-23
9042,9,5,3,95.74,2022-09-16
9685,9,40,10,99.72,2023-02-19
3188,10,24,7,20.37,2022-09-20
8712,2,50,3,76.8,2022-07-22
4898,3,9,7,15.84,2022-06-28
8716,3,11,2,51.09,2022-11-16
9863,9,17,8,67.2,2022-11-24
9728,3,9,8,61.04,2022-12-16
3810,9,6,1,80.49,2022-07-16
1589,5,10,1,96.94,2023-01-05
1558,9,20,2,10.85,2022-12-21
3228,8,25,4,81.38,2022-09-20
2363,3,30,5,20.69,2023-04-28
8078,6,34,3,56.94,2023-02-23
3720,10,48,7,84.4,2022-06-18
